"userType","gender","birthYear","state","jurisdiction","jurisdictionOthers","diocese","dioceseOthers","cradleOrConvert","cradleOrConvertOthers","clericalRank","clericalRankOthers","clericalStatus","clericalStatusOthers","parishType","parishTypeOthers","parishRole","parishRoleOthers","academicDegree","academicDegreeOthers","seminarySchool","seminarySchoolOthers","profession","Q1","Q2",,"Q3",,,,,,,,,
"Clergy",,1957,"Texas","Antiochian Orthodox Christian Archdiocese of North America",,"Diocese of Wichita and Mid-America",,"Converted as an Adult",,"Archpriest/Protopresbyter",,,,,,,,,,"St Vladimir's Orthodox Theological Seminary: Crestwood, New York",,,"Support for clergy (to avoid burnout)","Youth Ministry (retention and return of youth & young adults)","Influx of new inquirers        ",,,,,,,,,,
"Clergy",,1965,"Maryland","American Carpatho-Russian Orthodox Diocese of the USA",,,,"Cradle",,"Priest",,,,,,,,,,"Christ The Saviour Seminary: Johnstown, Pennsylvania",,,"Mental health needs of parishioners","Effects of COVID-19 (attendance, stewardship, parish life, return & retention)        ",,,,,,,,,,,
"Clergy",,1962,"Illinois","Greek Orthodox Archdiocese of America",,"Metropolis of Chicago",,"Cradle",,"Archpriest/Protopresbyter",,,,,,,,,,"Holy Cross Greek Orthodox School of Theology: Brookline, Massachusetts",,,"Influx of new inquirers","Strategies for parish education, catechization, outreach, etc.","Effects of COVID-19 (attendance, stewardship, parish life, return & retention)        ",,,,,,,,,,
"Laity","Male",1976,"Georgia","Greek Orthodox Archdiocese of America",,"Metropolis of Atlanta",,"Converted as an Adult",,,,,,,,"AoB Research Team",,"Graduate Degree",,,,"Business owner","Growing the parish","Depth of engagement"" in parish life (frequency of confession  attendance at non-Sunday services  participation in ministries)","Mental health needs of parishioners""      ",,,,,,,,,,
"Clergy",,1960,"Georgia","Greek Orthodox Archdiocese of America",,"Metropolis of Atlanta",,"Converted as an Adult",,"Priest",,,,,,,,,,"Holy Cross Greek Orthodox School of Theology: Brookline, Massachusetts",,,"Strategies for parish education, catechization, outreach, etc.","Influx of new inquirers","Demographic shifts (how to balance the needs of different groups)        ",,,,,,,,,,
"Laity","Female",1957,"Maryland","Orthodox Church in America",,"Archdiocese of Washington DC",,"Cradle",,,,,,,,"Priest's Wife",,"Graduate Degree",,,,"Self employed","Youth Ministry (retention and return of youth & young adults)","Effects of COVID-19 (attendance, stewardship, parish life, return & retention)","Growing the parish        ",,,,,,,,,,
"Clergy",,1947,"New York","American Carpatho-Russian Orthodox Diocese of the USA",,,,"Converted as an Adult",,"Priest",,,,,,,,,,"Christ The Saviour Seminary: Johnstown, Pennsylvania",,,"Support for clergy (to avoid burnout)","Continuing education/training for clergy","Mental health needs of parishioners        ",,,,,,,,,,
"Laity","Male",1956,"North Carolina","Greek Orthodox Archdiocese of America",,"Metropolis of Atlanta",,"Cradle",,,,,,,,"Ministry/ Organization Leader",,"College Degree",,,,"Retired engineer","Depth of engagement"" in parish life (frequency of confession  attendance at non-Sunday services  participation in ministries)","Demographic shifts (how to balance the needs of different groups)","Financial contributions/donations/stability""      ",,,,,,,,,,
"Laity","Male",1957,"Michigan","Orthodox Church in America",,"Bulgarian Diocese",,"Cradle",,,,,,,,"Ministry/ Organization  Member",,"Graduate Degree",,,,"Attorney ","Effects of COVID-19 (attendance, stewardship, parish life, return & retention)","Demographic shifts (how to balance the needs of different groups)        ",,,,,,,,,,,
"Laity","Male",1995,"Virginia","Antiochian Orthodox Christian Archdiocese of North America",,"Diocese of New York and Washington, D.C.",,"Converted as an Adult",,,,,,,,"Parishioner not involved in a Ministry/ Organization",,"College Degree",,,,"Non Profit Programs Manager","Demographic shifts (how to balance the needs of different groups)","Strategies for parish education, catechization, outreach, etc.","Depth of engagement"" in parish life (frequency of confession  attendance at non-Sunday services  participation in ministries)""      ",,,,,,,,,,
"Laity","Male",1957,"Arkansas","Greek Orthodox Archdiocese of America",,"Metropolis of Detroit",,"Converted as an Adult",,,,,,,,"Parishioner not involved in a Ministry/ Organization",,"Graduate Degree",,,,"Educational Accountability ","Depth of engagement"" in parish life (frequency of confession  attendance at non-Sunday services  participation in ministries)","Support for clergy (to avoid burnout)","Effects of COVID-19 (attendance  stewardship  parish life  return & retention)""   ",,,,,,,,,,
"Laity","Female",1961,"Pennsylvania","Orthodox Church in America",,"Diocese of Philadelphia and Eastern Pennsylvania",,"Cradle",,,,,,,,"Parishioner not involved in a Ministry/ Organization",,"Graduate Degree",,,,"College professor","Youth Ministry (retention and return of youth & young adults)","Strategies for parish education, catechization, outreach, etc.","Depth of engagement"" in parish life (frequency of confession  attendance at non-Sunday services  participation in ministries)""      ",,,,,,,,,,
"Clergy",,1972,"New Jersey","Ukrainian Orthodox Church of the USA",,"Western Eparchy",,"Converted as an Adult",,"Archbishop",,,,,,,,,,"An Orthodox Christian distance learning program|An Orthodox Christian distance learning program |Antiochian House of Studies|St. Sophia Ukrainian Orthodox Theological Seminary: South Bound Brook, New Jersey","Catholic University of America",,"Demographic shifts (how to balance the needs of different groups)        ",,,,,,,,,,,,
"Laity","Female",1945,"Michigan","Russian Orthodox Church Outside of Russia",,"Chicago and Mid-America Diocese",,"Cradle",,,,,,,,"Parish Council Member|Ministry/ Organization President",,"Some College",,,,"Retired","Influx of new inquirers","Financial contributions/donations/stability","Growing the parish        ",,,,,,,,,,
"Laity","Male",1979,"Florida","Ukrainian Orthodox Church of the USA",,"Eastern Eparchy",,"Converted as an Adult",,,,,,,,,"Altar Server ","College Degree",,,,"HVAC FIELD SUPERVISOR ","Demographic shifts (how to balance the needs of different groups)","Support for clergy (to avoid burnout)","Effects of COVID-19 (attendance, stewardship, parish life, return & retention)        ",,,,,,,,,,
"Clergy",,1970,"Iowa","Greek Orthodox Archdiocese of America",,"Metropolis of Chicago",,"Cradle",,"Priest",,,,,,,,,,"Holy Cross Greek Orthodox School of Theology: Brookline, Massachusetts",,,"Growing the parish","Strategies for parish education, catechization, outreach, etc.","Support for clergy (to avoid burnout)","Effects of COVID-19 (attendance, stewardship, parish life, return & retention)        ",,,,,,,,,
"Laity","Male",1994,"Michigan","Greek Orthodox Archdiocese of America",,"Metropolis of Detroit",,"Converted as an Adult",,,,,,,,"Parishioner not involved in a Ministry/ Organization",,"College Degree",,,,"Commercial real estate broker","Growing the parish","Clergy shortage","Influx of new inquirers        ",,,,,,,,,,
"Clergy",,1981,"Ohio","Greek Orthodox Archdiocese of America",,"Metropolis of Detroit",,"Converted as an Adult",,"Priest",,,,,,,,,,"Holy Cross Greek Orthodox School of Theology: Brookline, Massachusetts",,,"Effects of COVID-19 (attendance, stewardship, parish life, return & retention)","Demographic shifts (how to balance the needs of different groups)","Support for clergy (to avoid burnout)        ",,,,,,,,,,
"Clergy",,1955,"Connecticut","Orthodox Church in America",,"Archdiocese of Washington DC",,"Cradle",,"Archpriest/Protopresbyter",,,,,,,,,,"St Vladimir's Orthodox Theological Seminary: Crestwood, New York",,,"Strategies for parish education, catechization, outreach, etc.","Depth of engagement"" in parish life (frequency of confession  attendance at non-Sunday services  participation in ministries)","Growing the parish""      ",,,,,,,,,,
"Laity","Male",1988,"New York","Orthodox Church in America",,"Diocese of New York and New Jersey",,"Converted as an Adult",,,,,,,,"Parishioner not involved in a Ministry/ Organization",,"College Degree",,,,"Environmental Scientist","Depth of engagement"" in parish life (frequency of confession  attendance at non-Sunday services  participation in ministries)","Youth Ministry (retention and return of youth & young adults)","Growing the parish""      ",,,,,,,,,,
"Laity","Male",1987,"Tennessee","Orthodox Church in America",,"Diocese of Dallas and the South",,"Converted as an Adult",,,,,,,,"Ministry/ Organization Leader|Ministry/ Organization  Member",,"College Degree",,,,"Marketing / Communications","Financial contributions/donations/stability","Youth Ministry (retention and return of youth & young adults)","Influx of new inquirers        ",,,,,,,,,,
"Laity","Male",2003,"Illinois","Serbian Orthodox Church in North, Central and South America",,"Diocese of New Gracanica-Midwestern America",,"Cradle",,,,,,,,"Parishioner not involved in a Ministry/ Organization",,"Some College",,,,"Student ","Clergy shortage","Youth Ministry (retention and return of youth & young adults)","Depth of engagement"" in parish life (frequency of confession  attendance at non-Sunday services  participation in ministries)""      ",,,,,,,,,,
"Clergy",,1974,"Pennsylvania","Antiochian Orthodox Christian Archdiocese of North America",,"Diocese of Oakland, Charleston, and the Mid-Atlantic",,"Cradle",,"Deacon",,,,,,,,,,"An Orthodox Christian distance learning program ","St Sephens Antiochian House of Studies",,"Demographic shifts (how to balance the needs of different groups)","Youth Ministry (retention and return of youth & young adults)","Depth of engagement"" in parish life (frequency of confession  attendance at non-Sunday services  participation in ministries)""      ",,,,,,,,,,
"Clergy",,1958,"Vermont","Orthodox Church in America",,"Archdiocese of Washington DC",,"Converted as an Adult",,"Priest",,,,,,,,,," St Tikhon's Orthodox Theological Seminary: South Canaan, Pennsylvania",,,"Youth Ministry (retention and return of youth & young adults)","Strategies for parish education, catechization, outreach, etc.","Clergy shortage        ",,,,,,,,,,
"Laity","Male",1978,"Pennsylvania","Antiochian Orthodox Christian Archdiocese of North America",,"Diocese of Oakland, Charleston, and the Mid-Atlantic",,"Converted as an Adult",,,,,,,,"Parish Council Treasurer",,"Some College",,,,"Sr. Systems Engineer, IT","Sexual morality","Youth Ministry (retention and return of youth & young adults)","Influx of new inquirers        ",,,,,,,,,,
"Laity","Female",2002,"Oklahoma","Antiochian Orthodox Christian Archdiocese of North America",,"Diocese of Wichita and Mid-America",,"Converted as a Child",,,,,,,,"Ministry/ Organization  Member|Ministry/ Organization Leader","Chanter, Sunday school teacher, OCF, etc. ","High School Diploma|Some College",,,,"College student","Mental health needs of parishioners","Effects of COVID-19 (attendance, stewardship, parish life, return & retention)","Demographic shifts (how to balance the needs of different groups)        ",,,,,,,,,,
"Clergy",,1973,"Colorado","Greek Orthodox Archdiocese of America",,"Metropolis of Denver",,"Cradle",,"Deacon",,,,,,,,,,"Holy Cross Greek Orthodox School of Theology: Brookline, Massachusetts",,,"Continuing education/training for clergy","Strategies for parish education, catechization, outreach, etc.","Growing the parish        ",,,,,,,,,,
"Laity","Female",1998,"District of Columbia","Greek Orthodox Archdiocese of America",,"Greek Orthodox Archdiocese of America",,"Cradle",,,,,,,,"Parishioner not involved in a Ministry/ Organization",,"College Degree",,,,"Student ","Strategies for parish education, catechization, outreach, etc.","Sexual morality","Depth of engagement"" in parish life (frequency of confession  attendance at non-Sunday services  participation in ministries)""      ",,,,,,,,,,
"Laity","Male",1994,"New York","Greek Orthodox Archdiocese of America",,"Direct Archdiocesan District",,"Cradle",,,,,,,,,"Altar Server","Graduate Degree",,,,"Attorney","Demographic shifts (how to balance the needs of different groups)","Youth Ministry (retention and return of youth & young adults)","Strategies for parish education, catechization, outreach, etc.        ",,,,,,,,,,
"Clergy",,1947,"Oklahoma","Antiochian Orthodox Christian Archdiocese of North America",,"Diocese of Wichita and Mid-America",,"Converted as an Adult",,"Deacon",,,,,,,,,,"An Orthodox Christian distance learning program |An Orthodox Christian distance learning program","Southeastern Baptist Theological Seminary",,"Youth Ministry (retention and return of youth & young adults)","Influx of new inquirers","Strategies for parish education, catechization, outreach, etc.        ",,,,,,,,,,
"Laity","Male",1969,"Texas","Antiochian Orthodox Christian Archdiocese of North America",,"Diocese of Wichita and Mid-America",,"Converted as an Adult",,,,,,,,"Ministry/ Organization  Member",,"Graduate Degree",,,,"Philosophy Professor ","Support for clergy (to avoid burnout)","Depth of engagement"" in parish life (frequency of confession  attendance at non-Sunday services  participation in ministries)","Clergy shortage""      ",,,,,,,,,,
"Clergy",,1950,"Illinois","Antiochian Orthodox Christian Archdiocese of North America",,"Diocese of Toledo and the Midwest",,"Cradle",,"Archpriest/Protopresbyter",,,,,,,,,,"St Vladimir's Orthodox Theological Seminary: Crestwood, New York",,,"Effects of COVID-19 (attendance, stewardship, parish life, return & retention)        ",,,,,,,,,,,,
"Clergy",,1957,"Nebraska","Antiochian Orthodox Christian Archdiocese of North America",,"Diocese of Wichita and Mid-America",,"Converted as an Adult",,"Deacon",,,,,,,,,,"An Orthodox Christian distance learning program ",,,"Effects of COVID-19 (attendance, stewardship, parish life, return & retention)        ",,,,,,,,,,,,
"Laity","Male",1999,"Michigan","Antiochian Orthodox Christian Archdiocese of North America",,"Diocese of Toledo and the Midwest",,"Converted as a Child",,,,,,,,"Parishioner not involved in a Ministry/ Organization",,"College Degree",,,,"Church supply ","Youth Ministry (retention and return of youth & young adults)","Influx of new inquirers","Demographic shifts (how to balance the needs of different groups)        ",,,,,,,,,,
"Laity","Male",1978,"Rhode Island","Antiochian Orthodox Christian Archdiocese of North America",,"Diocese of Worcester and New England",,"Converted as an Adult",,,,,,,,"Ministry/ Organization Leader|Parish Council Member",,"Graduate Degree",,,,"Professor ","Demographic shifts (how to balance the needs of different groups)","Support for clergy (to avoid burnout)","Effects of COVID-19 (attendance, stewardship, parish life, return & retention)        ",,,,,,,,,,
"Clergy",,1960,"Massachusetts","Antiochian Orthodox Christian Archdiocese of North America",,"Diocese of Worcester and New England",,"Converted as an Adult",,"Priest",,,,,,,,,,"St Vladimir's Orthodox Theological Seminary: Crestwood, New York",,,"Depth of engagement"" in parish life (frequency of confession  attendance at non-Sunday services  participation in ministries)","Youth Ministry (retention and return of youth & young adults)","Effects of COVID-19 (attendance  stewardship  parish life  return & retention)""   ",,,,,,,,,,
"Clergy",,1949,"Kansas","Antiochian Orthodox Christian Archdiocese of North America",,"Diocese of Wichita and Mid-America",,"Converted as an Adult",,"Deacon",,,,,,,,,,"An Orthodox Christian distance learning program ","St Stephen's Course in Orthodox Studies ",,"Growing the parish","Youth Ministry (retention and return of youth & young adults)","Strategies for parish education, catechization, outreach, etc.        ",,,,,,,,,,
"Clergy",,1951,"Pennsylvania","Antiochian Orthodox Christian Archdiocese of North America",,"Diocese of Oakland, Charleston, and the Mid-Atlantic",,"Cradle",,"Deacon",,,,,,,,,,"An Orthodox Christian distance learning program","Pittsburgh Theological Seminary",,"Support for clergy (to avoid burnout)","Mental health needs of parishioners","Depth of engagement"" in parish life (frequency of confession  attendance at non-Sunday services  participation in ministries)""      ",,,,,,,,,,
"Laity","Male",1994,"Missouri","Orthodox Church in America",,"Diocese of Chicago and the Midwest",,"Cradle",,,,,,,,"Parishioner not involved in a Ministry/ Organization",,"Graduate Degree",,,,"Student","Effects of COVID-19 (attendance, stewardship, parish life, return & retention)","Strategies for parish education, catechization, outreach, etc.","Growing the parish        ",,,,,,,,,,
"Laity","Male",2002,"California","Greek Orthodox Archdiocese of America",,"Metropolis of San Francisco",,"Converted as an Adult",,,,,,,,,"Member of parish","Some College",,,,"Student","Growing the parish","Depth of engagement"" in parish life (frequency of confession  attendance at non-Sunday services  participation in ministries)","Effects of COVID-19 (attendance  stewardship  parish life  return & retention)","Demographic shifts (how to balance the needs of different groups)""   ",,,,,,,,,
"Clergy",,1970,"Massachusetts","Greek Orthodox Archdiocese of America",,"Direct Archdiocesan District",,"Cradle",,"Bishop",,,,,,,,,,"Antiochian House of Studies",,,"Strategies for parish education, catechization, outreach, etc.        ",,,,,,,,,,,,
"Clergy",,1967,"New York","Antiochian Orthodox Christian Archdiocese of North America",,"Diocese of New York and Washington, D.C.",,"Cradle",,"Archpriest/Protopresbyter",,,,,,,,,,"Holy Cross Greek Orthodox School of Theology: Brookline, Massachusetts|St Vladimir's Orthodox Theological Seminary: Crestwood, New York|Antiochian House of Studies","Balamand",,"Growing the parish","Depth of engagement"" in parish life (frequency of confession  attendance at non-Sunday services  participation in ministries)","Effects of COVID-19 (attendance  stewardship  parish life  return & retention)""   ",,,,,,,,,,
"Clergy",,1977,"Washington","Orthodox Church in America",,"Diocese of San Francisco and the West",,"Converted as an Adult",,"Deacon",,,,,,,,,,"An Orthodox Christian distance learning program ",,,"Clergy shortage","Financial contributions/donations/stability","Youth Ministry (retention and return of youth & young adults)        ",,,,,,,,,,
"Clergy",,1949,"Texas","Antiochian Orthodox Christian Archdiocese of North America",,"Diocese of Wichita and Mid-America",,"Converted as an Adult",,"Priest",,,,,,,,,,"An Orthodox Christian distance learning program ","Antiochian House of Studies",,"Influx of new inquirers","Financial contributions/donations/stability","Mental health needs of parishioners        ",,,,,,,,,,
"Clergy",,1953,"Florida","Antiochian Orthodox Christian Archdiocese of North America",,"Diocese of Miami and the Southeast",,"Cradle",,"Archpriest/Protopresbyter",,,,,,,,,,"St Vladimir's Orthodox Theological Seminary: Crestwood, New York",,,"Youth Ministry (retention and return of youth & young adults)","Strategies for parish education, catechization, outreach, etc.","Demographic shifts (how to balance the needs of different groups)        ",,,,,,,,,,
"Laity","Male",1990,"New Jersey","Greek Orthodox Archdiocese of America",,"Metropolis of New Jersey",,"Cradle",,,,,,,,"Ministry/ Organization Leader",,"College Degree",,,,"Graduate Student","Youth Ministry (retention and return of youth & young adults)","Depth of engagement"" in parish life (frequency of confession  attendance at non-Sunday services  participation in ministries)","Strategies for parish education  catechization  outreach  etc.""   ",,,,,,,,,,
"Laity","Male",1956,"South Carolina","Greek Orthodox Archdiocese of America",,"Metropolis of Atlanta",,"Converted as an Adult",,,,,,,,,"Former Parish Council ","College Degree",,,,"Church Administrative Officer ","Depth of engagement"" in parish life (frequency of confession  attendance at non-Sunday services  participation in ministries)","Effects of COVID-19 (attendance  stewardship  parish life  return & retention)","Demographic shifts (how to balance the needs of different groups)""   ",,,,,,,,,,
"Clergy",,1946,"Kansas","Antiochian Orthodox Christian Archdiocese of North America",,"Diocese of Wichita and Mid-America",,"Converted as an Adult",,"Archpriest/Protopresbyter",,,,,,,,,,"An Orthodox Christian distance learning program","M.Div. general theological seminary, DMiin Virginia theological seminary",,"Effects of COVID-19 (attendance, stewardship, parish life, return & retention)","Support for clergy (to avoid burnout)","Growing the parish        ",,,,,,,,,,
"Clergy",,1966,"New York","Antiochian Orthodox Christian Archdiocese of North America",,"Diocese of Ottawa, Eastern Canada, and Upstate New York",,"Converted as an Adult",,"Priest",,,,,,,,,,"St Vladimir's Orthodox Theological Seminary: Crestwood, New York",,,"Demographic shifts (how to balance the needs of different groups)","Support for clergy (to avoid burnout)        ",,,,,,,,,,,
"Clergy",,1982,"Pennsylvania","Antiochian Orthodox Christian Archdiocese of North America",,"Diocese of Oakland, Charleston, and the Mid-Atlantic",,"Cradle",,"Deacon",,,,,,,,,,"An Orthodox Christian distance learning program ","St. Stephen's course (Antiochian house of studies)",,"Strategies for parish education, catechization, outreach, etc.","Youth Ministry (retention and return of youth & young adults)","Effects of COVID-19 (attendance, stewardship, parish life, return & retention)        ",,,,,,,,,,
"Laity","Male",1962,"California",,"Coptic Orthodox",,,"Cradle",,,,,,,,"Parishioner not involved in a Ministry/ Organization",,"Graduate Degree",,,,"Teacher","Financial contributions/donations/stability        ",,,,,,,,,,,,
"Laity","Male",1987,"Texas","Greek Orthodox Archdiocese of America",,"Metropolis of Denver",,"Converted as an Adult",,,,,,,,"Parishioner not involved in a Ministry/ Organization","Parishioner ","Some College",,,,"Sales","Financial contributions/donations/stability","Youth Ministry (retention and return of youth & young adults)        ",,,,,,,,,,,
"Laity","Female",1956,"Ohio","Antiochian Orthodox Christian Archdiocese of North America",,"Diocese of Toledo and the Midwest",,"Converted as an Adult",,,,,,,,"Ministry/ Organization Leader|Parish Council Member",,"Graduate Degree",,,,"Retired RN","Influx of new inquirers","Strategies for parish education, catechization, outreach, etc.","Support for clergy (to avoid burnout)        ",,,,,,,,,,
"Laity","Female",1949,"Florida","Antiochian Orthodox Christian Archdiocese of North America",,"Diocese of Miami and the Southeast",,"Converted as an Adult",,,,,,,,"Ministry/ Organization  Member",,"Graduate Degree",,,,"Hospital Chaplain","Depth of engagement"" in parish life (frequency of confession  attendance at non-Sunday services  participation in ministries)","Influx of new inquirers","Support for clergy (to avoid burnout)""      ",,,,,,,,,,
"Laity","Male",1993,"Kentucky","Orthodox Church in America",,"Diocese of Dallas and the South",,"Converted as an Adult",,,,,,,,"Parishioner not involved in a Ministry/ Organization",,"High School Diploma",,,,"Retail ","Demographic shifts (how to balance the needs of different groups)","Strategies for parish education, catechization, outreach, etc.","Support for clergy (to avoid burnout)        ",,,,,,,,,,
"Laity","Male",1953,"Tennessee","Greek Orthodox Archdiocese of America",,"Metropolis of Detroit",,"Converted as an Adult",,,,,,,,"Parishioner not involved in a Ministry/ Organization",,"Graduate Degree",,,,"Retired ","Demographic shifts (how to balance the needs of different groups)","Support for clergy (to avoid burnout)        ",,,,,,,,,,,
"Clergy",,1960,"Wisconsin","Ukrainian Orthodox Church of the USA",,"Western Eparchy",,"Converted as an Adult",,"Archpriest/Protopresbyter",,,,,,,,,,"Christ The Saviour Seminary: Johnstown, Pennsylvania",,,"Financial contributions/donations/stability","Effects of COVID-19 (attendance, stewardship, parish life, return & retention)","Growing the parish        ",,,,,,,,,,
"Laity","Male",1948,"Georgia","Greek Orthodox Archdiocese of America",,"Metropolis of Atlanta",,"Cradle",,,,,,,,"Parishioner not involved in a Ministry/ Organization",,"Graduate Degree",,,,"Attorney ","Growing the parish","Depth of engagement"" in parish life (frequency of confession  attendance at non-Sunday services  participation in ministries)","Strategies for parish education  catechization  outreach  etc.""   ",,,,,,,,,,
"Laity","Male",1955,"North Carolina","Greek Orthodox Archdiocese of America",,"Metropolis of Atlanta",,"Cradle",,,,,,,,"Parishioner not involved in a Ministry/ Organization",,"Graduate Degree",,,,"Pharmacist","Financial contributions/donations/stability","Growing the parish","Effects of COVID-19 (attendance, stewardship, parish life, return & retention)        ",,,,,,,,,,
"Laity","Male",1982,"New York","Orthodox Church in America",,"Diocese of New York and New Jersey",,"Converted as an Adult",,,,,,,,"Parishioner not involved in a Ministry/ Organization",,"Some College",,,,"Bank Manager","Support for clergy (to avoid burnout)","Strategies for parish education, catechization, outreach, etc.","Clergy shortage        ",,,,,,,,,,
"Clergy",,1985,"New York","Antiochian Orthodox Christian Archdiocese of North America",,"Diocese of Ottawa, Eastern Canada, and Upstate New York",,"Converted as an Adult",,"Priest",,,,,,,,,,"St Vladimir's Orthodox Theological Seminary: Crestwood, New York",,,"Financial contributions/donations/stability","Strategies for parish education, catechization, outreach, etc.","Depth of engagement"" in parish life (frequency of confession  attendance at non-Sunday services  participation in ministries)""      ",,,,,,,,,,
"Laity","Male",1961,"Maryland","Serbian Orthodox Church in North, Central and South America",,"Diocese of Eastern America",,"Converted as an Adult",,,,,,,,"Ministry/ Organization  Member","Choir, Cantor","Graduate Degree",,,,"Musician ","Growing the parish","Depth of engagement"" in parish life (frequency of confession  attendance at non-Sunday services  participation in ministries)","Financial contributions/donations/stability""      ",,,,,,,,,,
"Laity","Male",1971,"Arkansas","Antiochian Orthodox Christian Archdiocese of North America",,"Diocese of Miami and the Southeast",,"Converted as an Adult",,,,,,,,"Parishioner not involved in a Ministry/ Organization",,"Graduate Degree",,,,"Attorney ","Youth Ministry (retention and return of youth & young adults)","Strategies for parish education, catechization, outreach, etc.","Support for clergy (to avoid burnout)        ",,,,,,,,,,
"Laity","Female",1986,"California","Greek Orthodox Archdiocese of America",,"Metropolis of San Francisco",,"Cradle",,,,,,,,"Ministry/ Organization Leader|Ministry/ Organization  Member",,"Graduate Degree",,,,"Marketing","Youth Ministry (retention and return of youth & young adults)","Strategies for parish education, catechization, outreach, etc.","Support for clergy (to avoid burnout)        ",,,,,,,,,,
"Laity","Female",1994,"Illinois","Orthodox Church in America",,"Diocese of Chicago and the Midwest",,"Cradle",,,,,,,,"Parishioner not involved in a Ministry/ Organization",,"College Degree",,,,"Finance","Financial contributions/donations/stability","Youth Ministry (retention and return of youth & young adults)","Demographic shifts (how to balance the needs of different groups)        ",,,,,,,,,,
